Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"KLCC, Kuala Lumpur",1250000,3,3.0,2,Serviced Residence,1335,Fully Furnished,Serviced Residence,3.1578,101.7123
"Dutamas, Kuala Lumpur",1030000,3,4.0,2,Condominium (Corner),1875,Partly Furnished,Condo,3.1822,101.6654
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"Sri Petaling, Kuala Lumpur",385000,3,2.0,1,Apartment (Intermediate),904,Partly Furnished,Apartment,3.0671,101.6901
"Mont Kiara, Kuala Lumpur",1780000,5,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"Desa ParkCity, Kuala Lumpur",1500000,5,4.0,2,Condominium (Corner),1798,Partly Furnished,Condo,3.1865,101.6341
"Damansara Heights, Kuala Lumpur",1550000,1,1.0,1,Serviced Residence (Intermediate),904,Fully Furnished,Serviced Residence,3.1412,101.6618
"Mont Kiara, Kuala Lumpur",1500000,4,4.0,3,Condominium,2163,Fully Furnished,Condo,3.1718,101.6501
"Bangsar South, Kuala Lumpur",490000,1,1.0,1,Serviced Residence,520,Fully Furnished,Serviced Residence,3.1124,101.6654
"Bukit Jalil, Kuala Lumpur",610000,4,2.0,2,Condominium (Intermediate),1236,Partly Furnished,Condo,3.0593,101.6895
"Dutamas, Kuala Lumpur",1035880,4,4.0,1,Condominium (EndLot),1876,Partly Furnished,Condo,3.1822,101.6654
"Ampang Hilir, Kuala Lumpur",460000,1,1.0,1,Serviced Residence,613,Fully Furnished,Serviced Residence,3.1532,101.7475
"KLCC, Kuala Lumpur",2400000,2,2.0,1,Serviced Residence,1006,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1438000,5,4.0,3,Condominium (Corner),2378,Partly Furnished,Condo,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1720000,5,6.0,3,Condominium (Corner),2020,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2700000,4,4.0,3,Serviced Residence (Corner),3095,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1080000,2,2.0,1,Serviced Residence,896,Fully Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1150000,3,2.0,2,Condominium (Corner),1200,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",1070000,5,4.0,4,Condominium (EndLot),1772,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",930000,4,3.0,2,Condominium (EndLot),1513,Partly Furnished,Condo,3.0593,101.6895
"Bangsar South, Kuala Lumpur",780000,2,2.0,1,Serviced Residence (Corner),880,Partly Furnished,Serviced Residence,3.1124,101.6654
"KL City, Kuala Lumpur",1800000,2,2.0,1,Serviced Residence (Duplex),1244,Fully Furnished,Serviced Residence,3.1543,101.7155
"Mont Kiara, Kuala Lumpur",2300000,5,5.0,2,Condominium (Corner),2702,Partly Furnished,Condo,3.1718,101.6501
"Bangsar South, Kuala Lumpur",850000,3,2.0,1,Serviced Residence,1050,Fully Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1698800,2,2.0,1,Serviced Residence (Intermediate),1227,Fully Furnished,Serviced Residence,3.1578,101.7123
"Sungai Besi, Kuala Lumpur",999000,5,4.0,2,3-sty Terrace/Link House (Intermediate),2512,Partly Furnished,Terrace/Link House,3.0645,101.7162
"KLCC, Kuala Lumpur",1500000,2,2.0,1,Serviced Residence (Corner),1022,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,1,2.0,1,Serviced Residence (Intermediate),1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1830000,4,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1718,101.6501
"Setapak, Kuala Lumpur",580000,5,2.0,2,Condominium (Corner),1550,Partly Furnished,Condo,3.2061,101.7271
"Mont Kiara, Kuala Lumpur",2180000,5,4.0,3,Condominium (Corner),3000,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2030000,4,5.0,2,Condominium,2356,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1799000,1,1.0,1,Serviced Residence,720,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1820000,3,2.0,2,Condominium (Corner),1159,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,4,3.0,2,Serviced Residence (Corner),1313,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1650000,4,5.0,2,Condominium (Corner),1905,Fully Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,1,1.0,2,Serviced Residence,1023,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2055000,2,1.0,1,Serviced Residence (Intermediate),797,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1714000,1,1.0,1,Serviced Residence (Intermediate),700,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2300000,4,4.0,3,Serviced Residence (Corner),3282,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",920000,5,3.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",2300000,1,1.0,2,Serviced Residence (Intermediate),1046,Partly Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1850000,5,4.0,2,Condominium,1830,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1783000,2,2.0,1,Condominium,976,Partly Furnished,Condo,3.1578,101.7123
"Dutamas, Kuala Lumpur",1180000,4,4.0,1,Condominium (Intermediate),1942,Partly Furnished,Condo,3.1822,101.6654
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,2,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"City Centre, Kuala Lumpur",1700000,3,2.0,1,Serviced Residence (Intermediate),1442,Fully Furnished,Serviced Residence,3.1554,101.714
"Bukit Jalil, Kuala Lumpur",630000,2,2.0,2,Serviced Residence,791,Partly Furnished,Serviced Residence,3.0593,101.6895
"KLCC, Kuala Lumpur",1780000,1,1.0,1,Serviced Residence (Corner),728,Fully Furnished,Serviced Residence,3.1578,101.7123
"Desa ParkCity, Kuala Lumpur",1050000,3,2.0,2,Condominium,1389,Partly Furnished,Condo,3.1865,101.6341
"Mont Kiara, Kuala Lumpur",2600000,5,4.0,3,Condominium,3041,Partly Furnished,Condo,3.1718,101.6501
"Bangsar South, Kuala Lumpur",630000,2,1.0,1,Serviced Residence,663,Partly Furnished,Serviced Residence,3.1124,101.6654
"Bukit Jalil, Kuala Lumpur",978000,5,3.0,2,Condominium,1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",2000000,1,1.0,1,Serviced Residence,1087,Fully Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",1630000,5,4.0,2,Condominium,2065,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",1250000,2,2.0,1,Condominium,736,Partly Furnished,Condo,3.1578,101.7123
"Bangsar South, Kuala Lumpur",630000,2,1.0,1,Serviced Residence,650,Fully Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1350000,2,2.0,1,Serviced Residence,1050,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bangsar South, Kuala Lumpur",490000,1,1.0,1,Serviced Residence (Intermediate),500,Fully Furnished,Serviced Residence,3.1124,101.6654
"Bangsar South, Kuala Lumpur",800000,2,2.0,1,Serviced Residence (Corner),825,Partly Furnished,Serviced Residence,3.1124,101.6654
"KLCC, Kuala Lumpur",1000000,1,1.0,1,Condominium (EndLot),657,Fully Furnished,Condo,3.1578,101.7123
"Sungai Besi, Kuala Lumpur",448800,3,3.0,1,Serviced Residence (Intermediate),1045,Unfurnished,Serviced Residence,3.0645,101.7162
"Mont Kiara, Kuala Lumpur",2480000,5,5.0,3,Condominium (Corner),3041,Partly Furnished,Condo,3.1718,101.6501
"KL Sentral, Kuala Lumpur",2716000,4,4.0,2,Serviced Residence (Corner),2227,Partly Furnished,Serviced Residence,3.1328,101.6851
"Taman Desa, Kuala Lumpur",500000,2,2.0,1,Serviced Residence (Corner),715,Partly Furnished,Serviced Residence,3.1026,101.6857
"Mont Kiara, Kuala Lumpur",2480000,5,5.0,3,Condominium,3041,Unfurnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",1060000,5,4.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",900000,5,3.0,3,Condominium (Corner),1513,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",1850000,3,1.0,1,Condominium (Corner),2174,Partly Furnished,Condo,3.1578,101.7123
"Sentul, Kuala Lumpur",668000,4,3.0,3,Condominium (Corner),1345,Fully Furnished,Condo,3.189,101.6896
"KLCC, Kuala Lumpur",1050000,4,3.0,2,Serviced Residence (Intermediate),1313,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2580000,4,3.0,2,Condominium (Intermediate),2809,Partly Furnished,Condo,3.1578,101.7123
